directory,percent,avg_residues_in_contact
delta_C,10,498.0
delta_C,20,330.6363636363636
delta_C,30,264.09090909090907
delta_C,40,243.72727272727272
delta_C,50,226.36363636363637
delta_C,60,230.45454545454547
delta_C,70,236.54545454545453
delta_C,80,194.54545454545453
delta_C,90,194.27272727272728
delta_N,10,170.54545454545453
delta_N,20,75.63636363636364
delta_N,30,70.18181818181819
delta_N,40,61.90909090909091
delta_N,50,56.45454545454545
delta_N,60,41.90909090909091
delta_N,70,47.45454545454545
delta_N,80,36.0
delta_N,90,43.27272727272727
full_cahs12,10,502.72727272727275
full_cahs12,20,263.8181818181818
full_cahs12,30,185.45454545454547
full_cahs12,40,148.72727272727272
full_cahs12,50,120.0
full_cahs12,60,108.36363636363636
full_cahs12,70,97.0909090909091
full_cahs12,80,94.27272727272727
full_cahs12,90,76.18181818181819
